# nodo,4,inicio,2020-05-07T10:00:00,mae_host,0.008588
seccion,h,hs10,hs20,hs30,ta
past,-47,0.779455,0.780147,0.754621,22.3500
past,-46,0.777706,0.778250,0.752172,23.9833
past,-45,0.775441,0.776614,0.749647,25.2375
past,-44,0.772465,0.775269,0.747658,25.8500
past,-43,0.769141,0.774190,0.745987,25.7458
past,-42,0.797575,0.785604,0.746735,25.4750
past,-41,0.826513,0.823180,0.798941,25.2583
past,-40,0.826688,0.829233,0.818009,24.9500
past,-39,0.822684,0.825384,0.812526,24.2250
past,-38,0.817120,0.817610,0.802823,23.3042
past,-37,0.813691,0.812983,0.796756,22.0208
past,-36,0.810997,0.809971,0.793105,20.3333
past,-35,0.808184,0.807912,0.790084,19.5042
past,-34,0.806361,0.806068,0.787245,19.4625
past,-33,0.804979,0.804538,0.784987,18.9500
past,-32,0.803609,0.802968,0.782946,18.2250
past,-31,0.802399,0.801711,0.781347,17.6792
past,-30,0.800971,0.800331,0.779524,17.4417
past,-29,0.799491,0.799024,0.778002,17.0042
past,-28,0.797935,0.797844,0.776607,16.5083
past,-27,0.796497,0.796620,0.775520,16.0167
past,-26,0.795095,0.795700,0.774285,16.2958
past,-25,0.794168,0.794601,0.772626,17.7667
past,-24,0.793125,0.792984,0.770479,20.0500
past,-23,0.813793,0.799785,0.768029,22.3250
past,-22,0.828135,0.824931,0.800306,24.3000
past,-21,0.829057,0.825938,0.814781,25.8083
past,-20,0.821239,0.817894,0.803279,25.8667
past,-19,0.815567,0.810762,0.794126,24.8208
past,-18,0.811728,0.806605,0.787473,24.3750
past,-17,0.809191,0.803210,0.782234,24.0333
past,-16,0.806206,0.800630,0.778187,23.5708
past,-15,0.804068,0.798413,0.775347,23.0000
past,-14,0.802291,0.797189,0.773593,21.9833
past,-13,0.800866,0.796420,0.772686,20.3833
past,-12,0.799562,0.795863,0.772416,18.9708
past,-11,0.798412,0.795705,0.772504,18.3000
past,-10,0.797545,0.795232,0.772310,17.8625
past,-9,0.796809,0.794642,0.771944,16.9375
past,-8,0.796077,0.794100,0.771742,17.0208
past,-7,0.795337,0.793776,0.771266,17.7500
past,-6,0.794686,0.793100,0.770914,17.4375
past,-5,0.793887,0.792689,0.770321,16.8750
past,-4,0.793103,0.792039,0.769740,16.2625
past,-3,0.792593,0.791382,0.769158,15.5042
past,-2,0.791631,0.790842,0.768586,15.9875
past,-1,0.790964,0.790118,0.768118,17.8250
past,0,0.790270,0.789200,0.766914,19.8000
future,1,,,0.764447,21.3708
future,2,,,0.762232,22.7875
future,3,,,0.760834,23.8125
future,4,,,0.759416,22.5667
future,5,,,0.758095,21.5958
future,6,,,0.756527,23.0375
future,7,,,0.755188,23.5292
future,8,,,0.754093,23.8708
future,9,,,0.752941,23.3583
future,10,,,0.752418,22.1000
future,11,,,0.752400,20.5250
future,12,,,0.752195,18.7792
future,13,,,0.752200,17.6333
future,14,,,0.752165,16.7375
future,15,,,0.752128,16.1958
future,16,,,0.752000,16.3833
future,17,,,0.751678,16.8917
future,18,,,0.751517,16.8458
future,19,,,0.751395,16.4708
future,20,,,0.751267,16.1917
future,21,,,0.750951,16.2708
future,22,,,0.750577,16.4042
future,23,,,0.750065,17.0708
future,24,,,0.749392,18.3625
host_pred,1,,,0.777891,
host_pred,2,,,0.775338,
host_pred,3,,,0.772274,
host_pred,4,,,0.769721,
host_pred,5,,,0.767678,
host_pred,6,,,0.765636,
host_pred,7,,,0.764104,
host_pred,8,,,0.763082,
host_pred,9,,,0.762061,
host_pred,10,,,0.761550,
host_pred,11,,,0.761040,
host_pred,12,,,0.760529,
host_pred,13,,,0.760529,
host_pred,14,,,0.760018,
host_pred,15,,,0.760018,
host_pred,16,,,0.759508,
host_pred,17,,,0.758997,
host_pred,18,,,0.758997,
host_pred,19,,,0.758486,
host_pred,20,,,0.757976,
host_pred,21,,,0.757465,
host_pred,22,,,0.756954,
host_pred,23,,,0.756444,
host_pred,24,,,0.755933,
